	shannon_entropy
122-1003.5	4.278534119314933
123-1001.5	4.308421183172945
128-1001.1	4.711238673405774
128-1001.U	5.142508316030412
128-1002.1	3.563410247522369
128-1002.2	3.577418855960466
128-1002.3	3.36405583263832
128-1002.6	4.617183347650497
128-1002.7	4.411910769060029
130-1001.3	2.880855521845016
130-1001.5	4.007463695173297
130-1001.6	3.6386662441964974
130-1001.7	3.401832495331065
131-1001.2	3.1395462836510073
131-1001.3	2.9757649147853233
139-1001.3	2.8126308857792317
139-1001.4	2.886270284873898
139-1001.U	2.515665211640885
139-1002.2	3.1539270157643977
139-1002.3	2.684414890722026
139-1002.7	3.5396219386128975
140-1002.3	4.2442838878068265
140-1002.5	4.428144473818742
140-1003.3	2.7825332878398603
146-1001.2	5.233522498772389
146-1001.3	4.543517348314466
146-1001.4	4.457691343470629
146-1001.5	4.374588193140118
146-1001.6	5.369793430313403
146-1002.1	5.308941446884144
146-1002.2	5.74658847542939
146-1002.7	4.912941685068255
146-1003.4	4.382602804147586
146-1003.5	4.486159159465396
146-1004.1	4.4499689417602575
146-1004.2	3.9775206200752034
146-1004.4	4.348513224523254
146-1004.6	5.789704961525837
146-1004.7	5.684842436962191
101-1002.6	4.333541973888597
101-1003.5	4.213394330080884
110-1004.2	3.3441434637167617
114-1003.2	4.611132899669445
116-1010.2	4.315107491248551
117-1945.5	4.221292680206476
Mock20241216a	3.774356775766722
101-1001.3	4.093877210294614
101-1001.5	3.1697870134773045
101-1001.6	4.234924560916491
101-1001.7	3.743059992104233
101-1002.3	3.0063282394254687
101-1002.5	3.8179924408948067
101-1002.U	4.315117823487268
101-1003.3	4.664959490910593
101-1003.7	4.247079295227735
103-1001.1	4.720304964684273
110-1002.1	3.723267641908007
110-1002.2	3.652252313043153
110-1002.3	3.0460429664747912
110-1002.4	2.6253729210020604
110-1002.5	3.2457277412255325
110-1002.7	4.570635308842547
110-1003.4	4.819519683681193
110-1003.5	4.797762221606624
110-1003.7	5.216955390304686
110-1004.3	2.802070032564861
110-1004.4	3.2362680139995508
110-1004.5	3.529186886963624
110-1004.6	4.139690995117385
110-1005.2	4.881642753841508
110-1005.5	4.391235491940558
114-1002.2	4.55095180341643
114-1002.4	3.7727341612360252
114-1002.7	2.595247650398525
114-1003.7	4.744626947125518
114-1004.1	3.483924874146106
114-1004.4	5.508007404113987
114-1004.5	2.4702576068423965
114-1005.4	3.9398005222328454
114-1005.6	3.8905359484401414
114-1005.7	5.4189544587909175
116-1001.2	4.351215655247308
116-1001.3	2.3050964085603804
116-1001.6	2.5608834177481525
116-1002.3	2.557838419062558
116-1002.5	3.2514878596064594
116-1002.7	3.4425937414569843
116-1003.4	3.149270843856311
116-1003.5	3.597644689544089
116-1003.U	3.8196777317934845
116-1004.1	4.00384140749637
116-1004.3	1.6455011262139512
116-1004.7	4.406718468888295
116-1006.5	4.103007416171847
116-1006.U	4.137576016305608
116-1007.1	3.50536802014975
116-1007.2	3.5531375445032634
116-1007.4	3.183614257011646
116-1007.5	3.630255288291346
116-1008.4	3.598799975960692
116-1008.5	4.817594154199094
116-1009.1	3.5650082932425464
116-1009.4	2.891552315678132
116-1009.5	3.634273881636276
116-1010.4	2.775040516182245
116-1011.1	4.372442089419265
116-1011.5	4.665238181778571
117-1945.1	3.107008053109439
117-1945.2	1.1873441141812386
117-1945.3	2.747830557799447
117-1945.4	3.4198164795451786
117-1945.6	4.328122118749978
120-2201.1	5.489042919166221
120-2201.3	1.9719840391862906
120-2201.4	3.475492693519499
120-2203.1	3.323995689550751
120-2203.3	2.697736670970345
120-2203.U	3.369632783574949
120-2204.1	2.9139871957168
120-2204.2	3.3359280917747234
120-2204.4	3.9658639057415446
120-2204.5	2.9720991846155536
120-2204.U	2.9483542170977164
120-2205.1	4.296191762928044
122-1001.2	4.16560111961813
122-1002.1	5.726468154308733
122-1002.3	4.319071209697088
122-1002.4	4.094084587708077
122-1002.5	5.019115268919084
122-1002.7	5.356740518444294
122-1003.4	4.556940054671948
122-1003.6	4.710208866334191
122-1003.7	3.983204255435137
123-1001.1	3.874312355368255
123-1001.2	4.055301510686756
123-1001.3	3.369041827951824
123-1001.4	4.285725008471945
123-1001.6	4.9424666520575835
123-1001.7	4.926554009165727
128-1001.2	4.297898535162671
128-1001.3	3.5054383892564225
128-1001.4	2.968121219985792
128-1001.6	5.164651476039937
128-1001.7	3.804442073313118
128-1002.5	3.302551211405226
130-1001.2	4.551629227192787
130-1001.4	2.522566195464675
131-1001.1	3.6646792922735667
139-1001.2	4.2293399718934985
139-1001.5	3.494474665010909
139-1001.6	3.843534194331124
139-1001.7	4.416922782280037
139-1002.4	3.3226731189689613
139-1002.5	3.4466300435832125
139-1002.6	3.7624086374578902
140-1002.4	4.073923964019362
140-1002.7	4.688932736704693
146-1001.1	5.509708804014024
146-1001.7	5.1001602583982075
146-1002.3	5.104660340257239
146-1002.4	4.003141734846459
146-1002.5	4.749765931917215
146-1002.6	4.822474868239108
146-1003.1	4.9499556252589825
146-1003.2	4.838619502223741
146-1003.3	4.710391046680397
146-1003.6	4.9379236271211155
146-1003.7	5.088082833106687
146-1004.3	4.1536291644625685
146-1004.5	4.790868864934422
